CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,OH066 TAYLOR HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,4.111111111,9
Non-Prog,OH068 COUGHLIN HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3,5
Non-Prog,OH068 COUGHLIN HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,4.5,8
Non-Prog,OH071 JOSEPH AIRPORT HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3.857142857,14
Non-Prog,OH071 JOSEPH AIRPORT HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.647058824,17
Non-Prog,OH072 TAYLOR HYUNDAI OF FINDLAY,Non-Prog,CE8,January 2018,NL,CE,3.75,4
Non-Prog,OH072 TAYLOR HYUNDAI OF FINDLAY,Non-Prog,CE8,February 2018,NL,CE,4,6
Non-Prog,OH075 SUPERIOR HYUNDAI OF BEAVERCREE,Non-Prog,CE8,January 2018,NL,CE,3,10
Non-Prog,OH075 SUPERIOR HYUNDAI OF BEAVERCREE,Non-Prog,CE8,February 2018,NL,CE,3.857142857,7
Non-Prog,IA010 C&S HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3.875,8
Non-Prog,IA010 C&S HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,4.25,4
Non-Prog,IA013 LUJACK HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3.5,4
Non-Prog,IA013 LUJACK HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,2,2
Non-Prog,IA015 BILLION HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3.4,5
Non-Prog,IA015 BILLION HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3,1
Non-Prog,IA016 STEW HANSEN HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3.361111111,36
