CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.744094488,254
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.737179487,156
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.730337079,89
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.71875,128
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.652173913,92
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.702127660,94
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.901639344,122
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.8,120
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.851851852,54
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.828571429,70
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.596774194,62
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.507042254,71
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.571428571,70
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.592307692,130
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.630434783,92
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.764705882,34
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.652173913,46
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.857142857,56
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.75,48
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.574468085,47
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.448275862,58
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.441860465,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.906976744,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.75,8
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.551724138,29
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.578947368,19
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.762711864,59
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.533333333,30
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2017,NL,CE,4.75,48
