DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,71.288402072%,166481.45
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,81.678444939%,140055.35
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,107.778596350%,143752.64
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,86273.62
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,85580.35
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,94218.1
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,104099.57
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,100059.85
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,104454.84
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,108602.81
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,65819.94
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,113940.03
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,104025.19
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,104430.15
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,86737.37
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-5.412709007%,81603.88
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,8.674724981%,93004.21
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-25.442340697%,70246.81
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-3.715077786%,100232.19
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,5.422504631%,105485.6
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,-17.685393994%,85981.59
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,-10.351509321%,97360.78
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,70.246113868%,112055.89
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,7.537193030%,122527.91
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,-12.061415125%,91478.28
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-18.244664017%,85377.22
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,12.366319154%,97463.59
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,3.586728964%,84530.79
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,75341.81
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,95693.14
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,106120.72
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,106429.73
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,95219.45
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,76984.74
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,88111.92
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,82657.71
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,102052.04
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,77807.38
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,75149.34
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,73275.59
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-5.511003784%,71189.72
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,6.843823915%,102242.21
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-17.986798431%,87033
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-3.347335373%,102867.17
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-7.546304878%,88033.9
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,22.247538928%,94111.95
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,14.339909969%,100747.09
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,30.500107008%,107868.4
IL080 GERALD HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,13.072800896%,115393.1
